confidence,confluence,p_success,atr,atr_pct,approx_stop_pct,minutes_since_midnight,minutes_to_eod_flatten,belief_posterior,qty,risk_rupees,is_futures,y_binary,honest_pnl,y_R,hold_sec,symbol,signal_id,buy_time,sell_time,buy_price,sell_price,fees,atr_source,is_short_hold,gross_pnl,signal_market,signal_to_buy_sec,reentry_sec,same_symbol_seq,is_clean
0.597034875511702,73.6,0.6764270463849127,11.207802921647104,0.00670335168791731,0.010055027531875966,703,0.0,0.4174757281553398,5.0,84.05852191235329,0,0,-4730.6900000000005,-56.27852943848607,148.528849,HDFCBANK,2,2026-08-14 11:43:23.931879,2026-08-14 11:45:52.460728,1671.97,727.0,5.84,price_bars,0,-4724.85,equity_cash,0.35062,,1,1
0.597034875511702,73.6,0.6764270463849127,68.13406880537147,0.02167286482874639,0.032509297243119586,703,0.0,0.4174757281553398,2.0,204.4022064161144,0,0,-1571.16,-7.686609785422233,3438.991505,TCS,4,2026-08-14 11:43:23.953730,2026-08-14 12:40:42.945235,3143.75,2361.0,5.66,price_bars,0,-1565.5,equity_cash,0.372471,,1,1
0.597034875511702,73.6,0.6764270463849127,1.724175904789796,0.00023639897234383985,0.0003545984585157598,703,0.0,0.4174757281553398,1.0,2.586263857184694,0,0,-7171.510002746582,-2772.9227947194872,148.509431,GOLD,7,2026-08-14 11:43:23.964640,2026-08-14 11:45:52.474071,7293.5,125.12999725341797,3.14,price_bars,0,-7168.370002746582,equity_cash,0.383381,,1,1
0.597034875511702,73.6,0.6764270463849127,198.57956409647295,0.008063529123318624,0.012095293684977935,703,0.0,0.4174757281553398,0.05,14.893467307235472,1,0,-51.63,-3.4666205615476366,0.059371,NIFTY.F,24,2026-08-14 11:43:23.986450,2026-08-14 11:43:24.045821,24626.88,24626.88,51.63,price_bars,1,0.0,india_futures,0.405191,,1,0
0.597034875511702,73.6,0.6764270463849127,9.117854527064733,0.005453360124323243,0.008180040186484865,703,0.0,0.4174757281553398,0.05,0.683839089529855,0,0,-3.83,-5.600732772724585,0.06977,HDFCBANK.F,26,2026-08-14 11:43:23.994386,2026-08-14 11:43:24.064156,1671.97,1671.97,3.83,price_cache,1,0.0,india_futures,0.413127,,1,1
0.642034875511702,73.6,0.6764270463849127,198.57956409647295,0.008063529123318624,0.012095293684977935,703,0.0,0.4174757281553398,0.05,14.893467307235472,1,0,-51.63,-3.4666205615476366,0.057217,NIFTY.F,53,2026-08-14 11:43:24.396201,2026-08-14 11:43:24.453418,24626.88,24626.88,51.63,price_bars,1,0.0,india_futures,0.324668,0.35038,2,0
0.6583985118753384,73.6,0.6764270463849127,198.57956409647295,0.008063529123318624,0.012095293684977935,703,0.0,0.4174757281553398,0.05,14.893467307235472,1,0,-51.63,-3.4666205615476366,0.045557,NIFTY.F,82,2026-08-14 11:43:24.976786,2026-08-14 11:43:25.022343,24626.88,24626.88,51.63,price_bars,1,0.0,india_futures,0.516816,0.523368,3,0
0.672034875511702,73.6,0.6764270463849127,198.57956409647295,0.008063529123318624,0.012095293684977935,703,0.0,0.4174757281553398,0.05,14.893467307235472,1,0,-64.48400000000005,-4.329683522968002,147.142029,NIFTY.F,111,2026-08-14 11:43:25.344913,2026-08-14 11:45:52.486942,24626.88,24366.0,51.44,price_bars,0,-13.044000000000052,india_futures,0.314859,0.32257,4,0
0.642034875511702,73.6,0.6764270463849127,29.397981100572114,0.025143672877429454,0.03771550931614418,705,0.0,0.4174757281553398,8.0,352.7757732068654,0,0,-9.92,-0.028119844823309273,3289.556126,INFY,178,2026-08-14 11:45:53.405960,2026-08-14 12:40:42.962086,1169.199951171875,1169.199951171875,9.92,price_bars,0,0.0,equity_cash,0.915205,,1,1
0.642034875511702,73.6,0.6764270463849127,35.47427332112869,0.017807476409759316,0.026711214614638976,705,0.0,0.4174757281553398,4.0,212.84563992677215,0,0,-8.45,-0.039700131996629834,3289.551614,BHARTIARTL,181,2026-08-14 11:45:53.413423,2026-08-14 12:40:42.965037,1992.0999755859375,1992.0999755859375,8.45,price_bars,0,0.0,equity_cash,0.922668,,1,1
